Configuration,Num_Features,CV_RMSE,CV_MAPE,CV_sMAPE
1_Baseline_Lag1,18,256.01204915800446,6.845286806703421,7.167891570470928
2_Baseline_Lag1_Fourier,22,251.5156406975506,6.860185231889113,7.079355152577271
3_Baseline_Lag1_Fourier_DegreeDays,24,251.4736250643899,6.833679832991766,7.056111810221101
